aug_kl   AUC 0.4671, Accuracy 0.5220, TPR@5% FPR of 0.0068
Min_60.0% renyi_05   AUC 0.4878, Accuracy 0.5389, TPR@5% FPR of 0.0507
Min_60.0% renyi_1   AUC 0.5018, Accuracy 0.5355, TPR@5% FPR of 0.0574
Min_60.0% renyi_2   AUC 0.5300, Accuracy 0.5389, TPR@5% FPR of 0.0811
Min_60.0% renyi_inf   AUC 0.5435, Accuracy 0.5439, TPR@5% FPR of 0.0709
Min_70.0% renyi_05   AUC 0.4894, Accuracy 0.5422, TPR@5% FPR of 0.0439
Min_70.0% renyi_1   AUC 0.5072, Accuracy 0.5389, TPR@5% FPR of 0.0608
Min_70.0% renyi_2   AUC 0.5324, Accuracy 0.5338, TPR@5% FPR of 0.0676
Min_70.0% renyi_inf   AUC 0.5430, Accuracy 0.5490, TPR@5% FPR of 0.0777
Min_80.0% renyi_05   AUC 0.4965, Accuracy 0.5473, TPR@5% FPR of 0.0405
Min_80.0% renyi_1   AUC 0.5158, Accuracy 0.5405, TPR@5% FPR of 0.0541
Min_80.0% renyi_2   AUC 0.5356, Accuracy 0.5456, TPR@5% FPR of 0.0608
Min_80.0% renyi_inf   AUC 0.5433, Accuracy 0.5473, TPR@5% FPR of 0.0676
Min_90.0% renyi_05   AUC 0.5082, Accuracy 0.5473, TPR@5% FPR of 0.0473
Min_90.0% renyi_1   AUC 0.5308, Accuracy 0.5456, TPR@5% FPR of 0.0642
Min_90.0% renyi_2   AUC 0.5450, Accuracy 0.5608, TPR@5% FPR of 0.0743
Min_90.0% renyi_inf   AUC 0.5508, Accuracy 0.5608, TPR@5% FPR of 0.0777
Min_100% renyi_05   AUC 0.5142, Accuracy 0.5473, TPR@5% FPR of 0.0541
Min_100% renyi_1   AUC 0.5408, Accuracy 0.5507, TPR@5% FPR of 0.0777
Min_100% renyi_2   AUC 0.5605, Accuracy 0.5693, TPR@5% FPR of 0.0845
Min_100% renyi_inf   AUC 0.5674, Accuracy 0.5693, TPR@5% FPR of 0.0912
