aug_kl   AUC 0.4487, Accuracy 0.5051, TPR@5% FPR of 0.0372
Min_80.0% renyi_2   AUC 0.5165, Accuracy 0.5287, TPR@5% FPR of 0.0709
Min_80.0% renyi_inf   AUC 0.5205, Accuracy 0.5287, TPR@5% FPR of 0.0777
Min_90.0% renyi_05   AUC 0.5070, Accuracy 0.5220, TPR@5% FPR of 0.0541
Min_90.0% renyi_1   AUC 0.5159, Accuracy 0.5338, TPR@5% FPR of 0.0642
Min_90.0% renyi_2   AUC 0.5215, Accuracy 0.5304, TPR@5% FPR of 0.0743
Min_90.0% renyi_inf   AUC 0.5259, Accuracy 0.5338, TPR@5% FPR of 0.0878
Min_100% renyi_05   AUC 0.5127, Accuracy 0.5270, TPR@5% FPR of 0.0743
Min_100% renyi_1   AUC 0.5192, Accuracy 0.5355, TPR@5% FPR of 0.0709
Min_100% renyi_2   AUC 0.5216, Accuracy 0.5422, TPR@5% FPR of 0.0743
Min_100% renyi_inf   AUC 0.5222, Accuracy 0.5389, TPR@5% FPR of 0.0811
