Min_60.0% renyi_2   AUC 0.5440, Accuracy 0.5683, TPR@5% FPR of 0.0733
Min_60.0% renyi_inf   AUC 0.5401, Accuracy 0.5700, TPR@5% FPR of 0.0733
Min_70.0% renyi_05   AUC 0.5140, Accuracy 0.5433, TPR@5% FPR of 0.0900
Min_70.0% renyi_1   AUC 0.5513, Accuracy 0.5717, TPR@5% FPR of 0.0800
Min_70.0% renyi_2   AUC 0.5417, Accuracy 0.5617, TPR@5% FPR of 0.0867
Min_70.0% renyi_inf   AUC 0.5356, Accuracy 0.5583, TPR@5% FPR of 0.0967
Min_80.0% renyi_05   AUC 0.5110, Accuracy 0.5417, TPR@5% FPR of 0.0700
Min_80.0% renyi_1   AUC 0.5527, Accuracy 0.5633, TPR@5% FPR of 0.0967
Min_80.0% renyi_2   AUC 0.5460, Accuracy 0.5617, TPR@5% FPR of 0.0933
Min_80.0% renyi_inf   AUC 0.5388, Accuracy 0.5583, TPR@5% FPR of 0.0767
Min_90.0% renyi_05   AUC 0.5081, Accuracy 0.5450, TPR@5% FPR of 0.0767
Min_90.0% renyi_1   AUC 0.5515, Accuracy 0.5633, TPR@5% FPR of 0.1033
Min_90.0% renyi_2   AUC 0.5486, Accuracy 0.5633, TPR@5% FPR of 0.1067
Min_90.0% renyi_inf   AUC 0.5453, Accuracy 0.5567, TPR@5% FPR of 0.0933
Min_100% renyi_05   AUC 0.4954, Accuracy 0.5350, TPR@5% FPR of 0.0533
Min_100% renyi_1   AUC 0.5410, Accuracy 0.5533, TPR@5% FPR of 0.1033
Min_100% renyi_2   AUC 0.5402, Accuracy 0.5450, TPR@5% FPR of 0.1000
Min_100% renyi_inf   AUC 0.5413, Accuracy 0.5433, TPR@5% FPR of 0.0833
