aug_kl   AUC 0.5760, Accuracy 0.5650, TPR@5% FPR of 0.1000
Min_60.0% renyi_1   AUC 0.5107, Accuracy 0.5550, TPR@5% FPR of 0.0800
Min_60.0% renyi_2   AUC 0.4763, Accuracy 0.5267, TPR@5% FPR of 0.0700
Min_60.0% renyi_inf   AUC 0.4709, Accuracy 0.5283, TPR@5% FPR of 0.0667
Min_70.0% renyi_05   AUC 0.4778, Accuracy 0.5350, TPR@5% FPR of 0.0700
Min_70.0% renyi_1   AUC 0.4842, Accuracy 0.5400, TPR@5% FPR of 0.0700
Min_70.0% renyi_2   AUC 0.4656, Accuracy 0.5133, TPR@5% FPR of 0.0567
Min_70.0% renyi_inf   AUC 0.4661, Accuracy 0.5117, TPR@5% FPR of 0.0533
Min_80.0% renyi_05   AUC 0.4513, Accuracy 0.5117, TPR@5% FPR of 0.0633
Min_80.0% renyi_1   AUC 0.4643, Accuracy 0.5267, TPR@5% FPR of 0.0667
Min_80.0% renyi_2   AUC 0.4678, Accuracy 0.5117, TPR@5% FPR of 0.0533
Min_80.0% renyi_inf   AUC 0.4727, Accuracy 0.5150, TPR@5% FPR of 0.0433
Min_90.0% renyi_05   AUC 0.4122, Accuracy 0.5133, TPR@5% FPR of 0.0633
Min_90.0% renyi_1   AUC 0.4470, Accuracy 0.5133, TPR@5% FPR of 0.0500
Min_90.0% renyi_2   AUC 0.4680, Accuracy 0.5150, TPR@5% FPR of 0.0433
Min_90.0% renyi_inf   AUC 0.4706, Accuracy 0.5150, TPR@5% FPR of 0.0367
Min_100% renyi_05   AUC 0.4087, Accuracy 0.5167, TPR@5% FPR of 0.0600
Min_100% renyi_1   AUC 0.4520, Accuracy 0.5050, TPR@5% FPR of 0.0367
Min_100% renyi_2   AUC 0.4702, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_100% renyi_inf   AUC 0.4782, Accuracy 0.5100, TPR@5% FPR of 0.0400
